!2 Narrative
As OSGP I want to authorize an organisation for specific devices


'''NB: SET SCHEDULE CURRENTLY FAILS BECAUSE OF A CHANGE IN OSLP PROTOCOL''' ''(Schedule type added to request for PBI685)''


!2 Scenario: Call a device function and verify whether this is allowed.
-| scenario | function matrix | organisation | | device | | function | | group | | allowed |
|given|a registered device @device                                                  |
|and  |an organisation @organisation which is member of device function group @group|
|when |device function @function is called                                          |
|then |the device function is @allowed                                              |

-| function matrix |
|organisation|device |function                |group            |allowed|
|org1        |device1|GET_FIRMWARE_VERSION    |INSTALLATION     |false  |
|org1        |device1|GET_FIRMWARE_VERSION    |AD_HOC           |false  |
|org1        |device1|GET_FIRMWARE_VERSION    |MANAGEMENT       |false  |
|org1        |device1|GET_FIRMWARE_VERSION    |FIRMWARE         |true   |
|org1        |device1|GET_FIRMWARE_VERSION    |SCHEDULING       |false  |
|org1        |device1|GET_FIRMWARE_VERSION    |TARIFF_SCHEDULING|false  |
|org1        |device1|GET_FIRMWARE_VERSION    |CONFIGURATION    |false  |
|org1        |device1|GET_FIRMWARE_VERSION    |MONITORING       |false  |
|org1        |device1|SET_SCHEDULE            |OWNER            |true   |
|org1        |device1|SET_SCHEDULE            |INSTALLATION     |false  |
|org1        |device1|SET_SCHEDULE            |AD_HOC           |false  |
|org1        |device1|SET_SCHEDULE            |MANAGEMENT       |false  |
|org1        |device1|SET_SCHEDULE            |FIRMWARE         |false  |
|org1        |device1|SET_SCHEDULE            |SCHEDULING       |true   |
|org1        |device1|SET_SCHEDULE            |TARIFF_SCHEDULING|false  |
|org1        |device1|SET_SCHEDULE            |CONFIGURATION    |false  |
|org1        |device1|SET_SCHEDULE            |MONITORING       |false  |
|org1        |device1|SET_TARIFF_SCHEDULE     |OWNER            |true   |
|org1        |device1|SET_TARIFF_SCHEDULE     |INSTALLATION     |false  |
|org1        |device1|SET_TARIFF_SCHEDULE     |AD_HOC           |false  |
|org1        |device1|SET_TARIFF_SCHEDULE     |MANAGEMENT       |false  |
|org1        |device1|SET_TARIFF_SCHEDULE     |FIRMWARE         |false  |
|org1        |device1|SET_TARIFF_SCHEDULE     |SCHEDULING       |false  |
|org1        |device1|SET_TARIFF_SCHEDULE     |TARIFF_SCHEDULING|true   |
|org1        |device1|SET_TARIFF_SCHEDULE     |CONFIGURATION    |false  |
|org1        |device1|SET_TARIFF_SCHEDULE     |MONITORING       |false  |
|org1        |device1|SET_CONFIGURATION       |OWNER            |true   |
|org1        |device1|SET_CONFIGURATION       |INSTALLATION     |false  |
|org1        |device1|SET_CONFIGURATION       |AD_HOC           |false  |
|org1        |device1|SET_CONFIGURATION       |MANAGEMENT       |false  |
|org1        |device1|SET_CONFIGURATION       |FIRMWARE         |false  |
|org1        |device1|SET_CONFIGURATION       |SCHEDULING       |false  |
|org1        |device1|SET_CONFIGURATION       |TARIFF_SCHEDULING|false  |
|org1        |device1|SET_CONFIGURATION       |CONFIGURATION    |true   |
|org1        |device1|SET_CONFIGURATION       |MONITORING       |false  |
|org1        |device1|GET_CONFIGURATION       |OWNER            |true   |
|org1        |device1|GET_CONFIGURATION       |INSTALLATION     |false  |
|org1        |device1|GET_CONFIGURATION       |AD_HOC           |false  |
|org1        |device1|GET_CONFIGURATION       |MANAGEMENT       |false  |
|org1        |device1|GET_CONFIGURATION       |FIRMWARE         |false  |
|org1        |device1|GET_CONFIGURATION       |SCHEDULING       |false  |
|org1        |device1|GET_CONFIGURATION       |TARIFF_SCHEDULING|false  |
|org1        |device1|GET_CONFIGURATION       |CONFIGURATION    |true   |
|org1        |device1|GET_CONFIGURATION       |MONITORING       |false  |
|org1        |device1|REMOVE_DEVICE           |OWNER            |true   |
|org1        |device1|REMOVE_DEVICE           |INSTALLATION     |false  |
|org1        |device1|REMOVE_DEVICE           |AD_HOC           |false  |
|org1        |device1|REMOVE_DEVICE           |MANAGEMENT       |true   |
|org1        |device1|REMOVE_DEVICE           |FIRMWARE         |false  |
|org1        |device1|REMOVE_DEVICE           |SCHEDULING       |false  |
|org1        |device1|REMOVE_DEVICE           |TARIFF_SCHEDULING|false  |
|org1        |device1|REMOVE_DEVICE           |CONFIGURATION    |false  |
|org1        |device1|REMOVE_DEVICE           |MONITORING       |false  |
|org1        |device1|GET_ACTUAL_POWER_USAGE  |OWNER            |true   |
|org1        |device1|GET_ACTUAL_POWER_USAGE  |INSTALLATION     |false  |
|org1        |device1|GET_ACTUAL_POWER_USAGE  |AD_HOC           |false  |
|org1        |device1|GET_ACTUAL_POWER_USAGE  |MANAGEMENT       |false  |
|org1        |device1|GET_ACTUAL_POWER_USAGE  |FIRMWARE         |false  |
|org1        |device1|GET_ACTUAL_POWER_USAGE  |SCHEDULING       |false  |
|org1        |device1|GET_ACTUAL_POWER_USAGE  |TARIFF_SCHEDULING|false  |
|org1        |device1|GET_ACTUAL_POWER_USAGE  |CONFIGURATION    |false  |
|org1        |device1|GET_ACTUAL_POWER_USAGE  |MONITORING       |true   |
|org1        |device1|GET_POWER_USAGE_HISTORY |OWNER            |true   |
|org1        |device1|GET_POWER_USAGE_HISTORY |INSTALLATION     |false  |
|org1        |device1|GET_POWER_USAGE_HISTORY |AD_HOC           |false  |
|org1        |device1|GET_POWER_USAGE_HISTORY |MANAGEMENT       |false  |
|org1        |device1|GET_POWER_USAGE_HISTORY |FIRMWARE         |false  |
|org1        |device1|GET_POWER_USAGE_HISTORY |SCHEDULING       |false  |
|org1        |device1|GET_POWER_USAGE_HISTORY |CONFIGURATION    |false  |
|org1        |device1|GET_POWER_USAGE_HISTORY |MONITORING       |true   |
|org1        |device1|RESUME_SCHEDULE         |OWNER            |true   |
|org1        |device1|RESUME_SCHEDULE         |INSTALLATION     |false  |
|org1        |device1|RESUME_SCHEDULE         |AD_HOC           |true   |
|org1        |device1|RESUME_SCHEDULE         |MANAGEMENT       |false  |
|org1        |device1|RESUME_SCHEDULE         |FIRMWARE         |false  |
|org1        |device1|RESUME_SCHEDULE         |SCHEDULING       |false  |
|org1        |device1|RESUME_SCHEDULE         |TARIFF_SCHEDULING|false  |
|org1        |device1|RESUME_SCHEDULE         |CONFIGURATION    |false  |
|org1        |device1|RESUME_SCHEDULE         |MONITORING       |false  |
|org1        |device1|SET_REBOOT              |OWNER            |true   |
|org1        |device1|SET_REBOOT              |INSTALLATION     |false  |
|org1        |device1|SET_REBOOT              |AD_HOC           |true   |
|org1        |device1|SET_REBOOT              |MANAGEMENT       |false  |
|org1        |device1|SET_REBOOT              |FIRMWARE         |false  |
|org1        |device1|SET_REBOOT              |SCHEDULING       |false  |
|org1        |device1|SET_REBOOT              |TARIFF_SCHEDULING|false  |
|org1        |device1|SET_REBOOT              |CONFIGURATION    |false  |
|org1        |device1|SET_REBOOT              |MONITORING       |false  |
|org1        |device1|SET_TRANSITION          |OWNER            |true   |
|org1        |device1|SET_TRANSITION          |INSTALLATION     |false  |
|org1        |device1|SET_TRANSITION          |AD_HOC           |true   |
|org1        |device1|SET_TRANSITION          |MANAGEMENT       |false  |
|org1        |device1|SET_TRANSITION          |FIRMWARE         |false  |
|org1        |device1|SET_TRANSITION          |SCHEDULING       |false  |
|org1        |device1|SET_TRANSITION          |TARIFF_SCHEDULING|false  |
|org1        |device1|SET_TRANSITION          |CONFIGURATION    |false  |
|org1        |device1|SET_TRANSITION          |MONITORING       |false  |

!2 Scenario: Change device authorization
-| scenario | function matrix2 | organisation | | different | | device | | function | | group | | delegateGroup | | allowed |
|given|a registered device @device                                                                   |
|and  |an organisation @organisation which is member of device function group @group                 |
|and  |a different organisation @different who has no rights                                         |
|when |device function SET_DEVICE_AUTHORIZATION is called to associate @different with @delegateGroup|
|then |the device function is @allowed                                                               |

-| function matrix2 |
|organisation|different|device |function                |group            |delegateGroup    |allowed|
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|OWNER            |OWNER            |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|OWNER            |AD_HOC           |true   |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|OWNER            |INSTALLATION     |true   |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|OWNER            |MANAGEMENT       |true   |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|OWNER            |FIRMWARE         |true   |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|OWNER            |SCHEDULING       |true   |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|OWNER            |TARIFF_SCHEDULING|true   |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|OWNER            |CONFIGURATION    |true   |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|OWNER            |MONITORING       |true   |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|AD_HOC           |OWNER            |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|AD_HOC           |AD_HOC           |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|AD_HOC           |INSTALLATION     |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|AD_HOC           |MANAGEMENT       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|AD_HOC           |FIRMWARE         |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|AD_HOC           |SCHEDULING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|AD_HOC           |TARIFF_SCHEDULING|false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|AD_HOC           |CONFIGURATION    |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|AD_HOC           |MONITORING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|INSTALLATION     |OWNER            |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|INSTALLATION     |AD_HOC           |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|INSTALLATION     |INSTALLATION     |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|INSTALLATION     |MANAGEMENT       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|INSTALLATION     |FIRMWARE         |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|INSTALLATION     |SCHEDULING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|INSTALLATION     |TARIFF_SCHEDULING|false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|INSTALLATION     |CONFIGURATION    |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|INSTALLATION     |MONITORING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MANAGEMENT       |OWNER            |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MANAGEMENT       |AD_HOC           |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MANAGEMENT       |INSTALLATION     |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MANAGEMENT       |MANAGEMENT       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MANAGEMENT       |FIRMWARE         |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MANAGEMENT       |SCHEDULING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MANAGEMENT       |TARIFF_SCHEDULING|false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MANAGEMENT       |CONFIGURATION    |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MANAGEMENT       |MONITORING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|FIRMWARE         |OWNER            |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|FIRMWARE         |AD_HOC           |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|FIRMWARE         |INSTALLATION     |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|FIRMWARE         |MANAGEMENT       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|FIRMWARE         |FIRMWARE         |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|FIRMWARE         |SCHEDULING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|FIRMWARE         |TARIFF_SCHEDULING|false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|FIRMWARE         |CONFIGURATION    |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|FIRMWARE         |MONITORING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|SCHEDULING       |OWNER            |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|SCHEDULING       |AD_HOC           |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|SCHEDULING       |INSTALLATION     |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|SCHEDULING       |MANAGEMENT       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|SCHEDULING       |FIRMWARE         |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|SCHEDULING       |SCHEDULING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|SCHEDULING       |TARIFF_SCHEDULING|false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|SCHEDULING       |CONFIGURATION    |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|SCHEDULING       |MONITORING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|TARIFF_SCHEDULING|OWNER            |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|TARIFF_SCHEDULING|AD_HOC           |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|TARIFF_SCHEDULING|INSTALLATION     |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|TARIFF_SCHEDULING|MANAGEMENT       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|TARIFF_SCHEDULING|FIRMWARE         |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|TARIFF_SCHEDULING|SCHEDULING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|TARIFF_SCHEDULING|TARIFF_SCHEDULING|false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|TARIFF_SCHEDULING|CONFIGURATION    |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|TARIFF_SCHEDULING|MONITORING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|CONFIGURATION    |OWNER            |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|CONFIGURATION    |AD_HOC           |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|CONFIGURATION    |INSTALLATION     |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|CONFIGURATION    |MANAGEMENT       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|CONFIGURATION    |FIRMWARE         |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|CONFIGURATION    |SCHEDULING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|CONFIGURATION    |TARIFF_SCHEDULING|false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|CONFIGURATION    |CONFIGURATION    |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|CONFIGURATION    |MONITORING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MONITORING       |OWNER            |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MONITORING       |AD_HOC           |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MONITORING       |INSTALLATION     |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MONITORING       |MANAGEMENT       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MONITORING       |FIRMWARE         |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MONITORING       |SCHEDULING       |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MONITORING       |TARIFF_SCHEDULING|false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MONITORING       |CONFIGURATION    |false  |
|org1        |police   |device1|SET_DEVICE_AUTHORIZATION|MONITORING       |MONITORING       |false  |
